2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 21 - Optical Flow
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | DEBUG    | debug:85 | Frame 21 - Pulando Deep Learning
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 22 - Optical Flow
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:55 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:56 | AnomalyDetection | WARNING  | warning:95 | Queue de processamento cheia - frame descartado
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 22 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 23 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 40 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 41 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 23 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 41 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 42 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 60 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 40 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 63 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 60 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 42 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 63 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 64 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 72 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 76 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 72 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 80 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 76 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 84 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 64 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 85 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 80 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 86 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 84 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 87 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 85 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 88 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 86 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 89 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 88 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 87 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 90 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 91 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 89 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 92 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 90 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Frame 91 - Pulando Deep Learning
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 93 - Optical Flow
2025-08-01 09:18:56 | AnomalyDetection | DEBUG    | debug:85 | Processando frame 94 - Optical Flow
